"","ID","consumption_unit_total","calendar_month","community","year","temperature","NumOfConnected-COMMELEC","NumOfConnected-FREENRESIE","NumOfConnected-FREERESIE","NumOfConnected-GOVTELEC","NumOfConnected-INDTELEC","NumOfConnected-RESIEXPE","NumOfConnected-RESINATE","NumOfConnected-RESINATSE","NumOfConnected-ENORATE","NumOfConnected-TOTAL","Expat_Ratio","Community.Name","One.Storey.Building","Multi.Storey.Building","Multi.Storey.Ratio.Building","Private.Villa","Investment.Villa","Arabic.House","Public.Building","Industrial.Building","Other.Buildings","Total.Buildings","population","Avg_Consumption_per_person","population_density"
"147","201704-613",7049221.516,"201704","613","2017",30.8,3242,0,1,24,53,131,2,0,0,3453,0.984962406015038,"RAS AL KHOR IND. SECOND",1,11,0,0,0,0,592,22,487,1113,2097,3361.5743996185,1.88409703504043
"148","201704-614",9721855.464,"201704","614","2017",30.8,1726,7,3,40,4,1839,127,7,0,3753,0.932083122149012,"RAS AL KHOR IND. THIRD",0,77,0,0,32,0,321,0,16,446,21238,457.757579056408,47.6188340807175
"149","201704-615",1944154.977,"201704","615","2017",30.8,22,3,2,23,0,2,140,4,0,196,0.0136986301369863,"NADD AL SHIBA SECOND",3,1,0,217,0,0,9,0,0,230,2175,893.864357241379,9.45652173913044
"150","201704-616",2726324.05,"201704","616","2017",30.8,108,0,0,11,0,0,1,0,0,120,0,"NADD AL SHIBA THIRD",0,2,0,64,1411,0,10,0,0,1487,94,29003.4473404255,0.0632145258910558
"151","201704-617",764879.04,"201704","617","2017",30.8,15,1,0,7,0,13,194,8,0,238,0.0604651162790698,"NADD AL SHIBA FOURTH",0,0,0,729,0,0,18,0,0,747,2525,302.922392079208,3.38018741633199
"152","201704-618",2206321.368,"201704","618","2017",30.8,28,0,0,2,0,691,26,0,0,747,0.96373779637378,"NADD AL SHIBA FIRST",1,43,0,99,1307,0,35,0,1,1486,3633,607.300128819158,2.44481830417227
"153","201704-621",27067919.504,"201704","621","2017",30.8,6250,1,0,10,9,27963,350,6,0,34589,0.987428934637522,"WARSAN FIRST",0,470,0,0,934,0,32,0,93,1529,94460,286.554303451196,61.7789404839765
"154","201704-622",1345272,"201704","622","2017",30.8,12,7,5,6,2,91,5,0,0,128,0.947916666666667,"WARSAN SECOND",7,3,0,0,92,0,18,1,0,121,764,1760.82722513089,6.31404958677686
"155","201704-624",897009.058,"201704","624","2017",30.8,26,0,0,2,0,1450,40,1,0,1519,0.972501676727029,"WARSAN FOURTH",0,77,0,0,0,0,2,1,0,80,4723,189.923577810714,59.0375
"156","201704-626",5829327.956,"201704","626","2017",30.8,578,0,0,2,37,6566,162,2,0,7347,0.975631500742942,"NADD HESSA",0,132,11,0,1766,0,58,0,2,1969,34074,171.07847496625,17.3052310817674
"157","201704-630",14031265.9,"201704","630","2017",30.8,1279,2,0,60,3,8428,197,0,0,9969,0.977159420289855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","201704-631",974916.05,"201704","631","2017",30.8,15,0,0,0,0,1,0,0,0,16,1,"HADAEQ SHEIKH MOHAMMED BIN RASHID",4,8,0,0,1194,0,15,1,9,1231,51,19116.0009803922,0.041429731925264
"159","201704-641",280525.4,"201704","641","2017",30.8,4,1,0,2,0,0,36,0,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","201704-643",2642225.914,"201704","643","2017",30.8,48,0,0,0,0,2855,102,3,0,3008,0.964527027027027,"WADI AL SAFA 2",0,49,0,1,654,0,16,0,1,721,7865,335.94735079466,10.9084604715673
"161","201704-645",4786332.817,"201704","645","2017",30.8,80,0,0,0,0,1413,46,0,0,1539,0.968471555860178,"WADI AL SAFA 3",1,31,1,6,2251,0,20,1,2,2313,4895,977.800371195097,2.11629917855599
"162","201704-648",4921229.976,"201704","648","2017",30.8,110,0,0,3,0,5494,182,0,0,5789,0.967935165609584,"WADI AL SAFA 5",0,45,1,35,1826,0,9,0,1,1917,15903,309.452931899642,8.29577464788732
"163","201704-664",9637160.665,"201704","664","2017",30.8,179,0,0,5,0,4044,82,0,0,4310,0.98012603005332,"WADI AL ASAFA 6",1,1,0,0,4288,0,13,0,0,4303,12380,778.445934168013,2.87706251452475
"164","201704-665",985344.905,"201704","665","2017",30.8,51,0,0,2,0,437,10,0,0,500,0.977628635346756,"WADI AL ASAFA 7",0,28,0,0,2644,0,21,0,0,2693,6492,151.778327942083,2.4106943928704
"165","201704-671",6544700.292,"201704","671","2017",30.8,70,1,0,19,0,143,1463,214,0,1910,0.0785714285714286,"AL BARSHA SOUTH FIRST",0,0,0,2139,0,0,20,0,0,2159,11194,584.661451849205,5.18480778138027
"166","201704-672",2532083.599,"201704","672","2017",30.8,65,1,0,5,0,829,131,8,0,1039,0.856404958677686,"AL BARSHA SOUTH SECOND",0,6,0,700,440,0,24,0,0,1170,4410,574.168616553288,3.76923076923077
"167","201704-673",5188443.091,"201704","673","2017",30.8,256,0,0,2,0,2106,36,0,0,2400,0.983193277310924,"AL BARSHA SOUTH THIRD",0,46,0,0,0,0,17,0,0,63,2784,1863.66490337644,44.1904761904762
"168","201704-674",9425669.986,"201704","674","2017",30.8,454,0,0,5,0,2924,25,0,0,3408,0.991522550016955,"AL HEBIAH FIRST",0,65,0,0,551,0,33,0,0,649,8561,1101.00104964373,13.191063174114
"169","201704-675",2564367.82,"201704","675","2017",30.8,249,0,1,3,0,517,5,0,0,775,0.990421455938697,"AL HEBIAH SECOND",1,8,0,0,65,0,33,0,0,107,817,3138.76110159119,7.63551401869159
"170","201704-676",2252340.302,"201704","676","2017",30.8,16,0,0,0,0,1600,30,0,0,1646,0.98159509202454,"AL HEBIAH THIRD",0,39,0,0,1934,0,7,0,0,1980,1470,1532.20428707483,0.742424242424242
"171","201704-681",7551416.451,"201704","681","2017",30.8,310,1,0,16,0,7932,138,1,0,8398,0.982777846611325,"AL BARSHA SOUTH FOURTH",0,114,0,0,2230,0,7,0,0,2351,15214,496.346552583147,6.47128881327095
"172","201704-682",9700014.18,"201704","682","2017",30.8,151,0,0,5,1,8628,71,0,0,8856,0.991838142315209,"AL HEBIAH FOURTH",0,49,4,0,1149,0,23,0,1,1226,13422,722.69514081359,10.9477977161501
"173","201704-683",1412048.471,"201704","683","2017",30.8,66,0,0,1,0,3287,43,0,0,3397,0.987087087087087,"AL HEBIAH FIFTH",0,74,0,0,0,0,11,0,1,86,5949,237.358963018995,69.1744186046512
"174","201704-684",2683182.024,"201704","684","2017",30.8,63,1,1,6,0,1988,60,0,0,2119,0.970703125,"AL BARSHA SOUTH FIFTH",0,12,0,0,1604,0,6,0,0,1622,5145,521.512541107872,3.17200986436498
"175","201704-685",4339172.525,"201704","685","2017",30.8,425,2,2,11,7,5465,57,2,0,5971,0.989319333816075,"ME'AISEM FIRST",1,34,0,0,872,0,131,0,1,1039,10021,433.007935834747,9.64485081809432
"176","201704-700",2293996.92,"201704","700","2017",30.8,53,0,23,37,0,5,119,1,0,238,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","201704-711",2857304.092,"201704","711","2017",30.8,120,0,1,31,0,102,105,10,0,369,0.470046082949309,"AL AWIR FIRST",85,2,0,234,0,0,32,0,12,365,2983,957.862585316795,8.17260273972603
"178","201704-721",12016947.705,"201704","721","2017",30.8,100,0,19,17,0,92,295,26,0,549,0.222760290556901,"AL AWIR SECOND",177,0,0,291,0,0,38,0,22,528,4621,2600.5080512876,8.75189393939394
"179","201704-731",190475.89,"201704","731","2017",30.8,41,0,0,0,0,22,54,9,0,126,0.258823529411765,"LEHBAB FIRST",67,3,0,122,0,0,22,0,10,224,2806,67.8816429080542,12.5267857142857
"180","201704-735",5480.38,"201704","735","2017",30.8,0,0,0,0,0,0,2,0,0,2,0,"AL MERYAL",81,0,0,6,0,0,4,0,2,93,718,7.63284122562674,7.72043010752688
"181","201704-736",52381.4,"201704","736","2017",30.8,0,0,0,0,0,0,4,0,0,4,0,"NAZWA",10,0,0,21,0,0,2,0,2,35,450,116.403111111111,12.8571428571429
"182","201704-799",180.62,"201704","799","2017",30.8,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","201704-800",24127546.25,"201704","800","2017",30.8,355,4,10,181,34,711,211,10,0,1516,0.762875536480687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","201704-811",1004948.02,"201704","811","2017",30.8,82,5,0,7,2,10,25,0,0,131,0.285714285714286,"Warsan Third",5,72,0,0,0,0,178,14,28,297,13260,75.7879351432881,44.6464646464646
"185","201704-812",884808.42,"201704","812","2017",30.8,26,0,0,0,0,0,0,0,0,26,NA,"AL ROWAIYAH FIRST",0,16,0,0,0,0,39,0,1,56,2696,328.193034124629,48.1428571428571
"186","201704-813",2014619.92,"201704","813","2017",30.8,9,0,0,5,0,0,3,0,0,17,0,"AL ROWAIYAH SECOND",1,0,0,0,0,0,18,0,0,19,25,80584.7968,1.31578947368421
"187","201704-814",785866.63,"201704","814","2017",30.8,71,0,0,14,0,0,0,0,0,85,NA,"AL ROWAIYAH THIRD",67,4,0,3,202,0,113,0,5,394,3800,206.807007894737,9.64467005076142
"188","201704-824",19042.37,"201704","824","2017",30.8,1,0,0,0,0,0,0,0,0,1,NA,"UMM AL DAMAN",3,0,0,5,300,0,2,0,0,310,48,396.716041666667,0.154838709677419
"189","201704-826",81.29,"201704","826","2017",30.8,0,1,0,0,0,0,0,0,0,1,NA,"LE HEMAIRA",1,0,0,0,0,0,3,2,9,15,51,1.59392156862745,3.4
"190","201704-831",80351.66,"201704","831","2017",30.8,28,0,0,0,0,4,2,0,0,34,0.666666666666667,"LEHBAB SECOND",57,2,0,44,0,0,17,0,13,133,1264,63.5693512658228,9.50375939849624
"191","201704-841",280042.89,"201704","841","2017",30.8,263,0,0,4,0,0,5,0,0,272,0,"MARGHAM",24,2,0,45,0,0,33,2,19,125,888,315.363614864865,7.104
"192","201704-845",9092.87,"201704","845","2017",30.8,11,0,0,0,0,3,0,0,0,14,1,"AL MAHA",42,1,0,4,0,0,10,0,1,58,168,54.1242261904762,2.89655172413793
"193","201704-891",3904380.151,"201704","891","2017",30.8,291,2,6,70,3,271,304,26,0,973,0.450915141430948,"HATTA",60,14,0,1061,9,317,105,2,19,1587,12769,305.770236588613,8.04599873976055
"194","201704-900",23755783.184,"201704","900","2017",30.8,336,17,4,153,2,33,299,8,0,852,0.0970588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","201704-911",69960.4,"201704","911","2017",30.8,4,3,0,0,0,0,1,0,0,8,0,"UMM NAHAD FIRST",0,0,0,0,0,0,6,0,2,8,8,8745.05,1
"196","201704-912",26196.24,"201704","912","2017",30.8,3,0,0,0,0,0,0,0,0,3,NA,"UMM NAHAD SECOND",0,0,0,0,0,0,2,0,0,2,2,13098.12,1
"197","201704-913",2171160.73,"201704","913","2017",30.8,12,0,0,0,0,6,0,0,0,18,1,"UMM NAHAD THIRD",36,9,0,0,10,0,3,1,24,83,2329,932.228737655646,28.0602409638554
"198","201704-915",1075220.92,"201704","915","2017",30.8,7,0,1,14,0,2,1,0,0,25,0.666666666666667,"AL YUFRAH 1",1,1,0,0,0,0,3,0,5,10,403,2668.04198511166,40.3
"199","201704-916",32156.71,"201704","916","2017",30.8,0,0,0,10,0,0,0,0,0,10,NA,"AL YUFRAH 2",0,0,0,0,342,0,0,0,0,342,2,16078.355,0.00584795321637427
"200","201704-917",1902998.05,"201704","917","2017",30.8,20,0,1,17,0,4,10,0,0,52,0.285714285714286,"AL MARMOOM",6,1,0,0,0,0,7,1,2,17,75,25373.3073333333,4.41176470588235
"201","201704-921",1470701.337,"201704","921","2017",30.8,3,0,0,0,0,1512,71,1,0,1587,0.954545454545455,"AL YALAYIS 1",0,0,0,0,3202,0,5,0,0,3207,0,Inf,0
"202","201704-931",966050.794,"201704","931","2017",30.8,39,0,0,7,0,25,210,2,0,283,0.105485232067511,"ALLESAILY",64,8,0,194,0,59,44,0,434,803,2514,384.268414478918,3.1307596513076
"203","201704-941",701104,"201704","941","2017",30.8,1,0,0,7,0,0,4,0,0,12,0,"GRAYTEESAH",85,1,0,5,0,0,9,1,105,206,55,12747.3454545455,0.266990291262136
"204","201704-951",883127.89,"201704","951","2017",30.8,5,0,0,0,0,0,2,0,0,7,0,"SAIH AL SALAM",29,1,0,10,0,0,3,0,1,44,589,1499.36823429542,13.3863636363636
"205","201704-961",243634.32,"201704","961","2017",30.8,3,0,0,1,0,2,29,0,0,35,0.0645161290322581,"AL SELAL",51,2,0,18,13,0,5,0,3,92,658,370.264924012158,7.15217391304348
"206","201704-967",108897.13,"201704","967","2017",30.8,1,0,0,1,0,0,1,0,0,3,0,"GHADEER BARASHY",1,0,0,3,0,0,5,0,5,14,7,15556.7328571429,0.5
"207","201705-111",6571218.922,"201705","111","2017",33.7,28,0,0,13,0,0,0,0,0,41,NA,"AL CORNICHE",0,2,0,0,0,0,4,0,0,6,1550,4239.49607870968,258.333333333333
"208","201705-112",12989579.178,"201705","112","2017",33.7,3027,0,0,22,0,1060,10,0,0,4119,0.990654205607477,"AL RAS",0,204,0,0,0,12,185,0,0,401,6621,1961.87572541912,16.5112219451372
"209","201705-113",16317168.915,"201705","113","2017",33.7,3191,0,0,4,0,1518,6,0,0,4719,0.996062992125984,"AL DAGHAYA",0,307,0,0,0,21,55,0,0,383,14963,1090.50116387088,39.0678851174935
"210","201705-114",12859882.835,"201705","114","2017",33.7,3348,0,0,4,0,597,1,0,0,3950,0.998327759197324,"AL BUTEEN",0,174,0,0,0,1,157,0,0,332,2563,5017.51183573937,7.71987951807229
"211","201705-115",8263057.869,"201705","115","2017",33.7,1326,0,0,8,0,294,0,0,0,1628,1,"AL SABKHA",0,73,0,0,0,0,33,0,0,106,3750,2203.4820984,35.377358490566
"212","201705-116",18454156.553,"201705","116","2017",33.7,2799,0,1,9,0,2422,9,0,0,5240,0.996297819827232,"AYAL NASIR",0,250,0,0,0,11,20,0,0,281,18512,996.875353986603,65.8790035587189
"213","201705-117",33103824.495,"201705","117","2017",33.7,7752,0,0,7,0,6265,21,0,0,14045,0.996659242761693,"AL MURAR",1,529,0,0,0,11,30,0,0,571,37371,885.815859757566,65.4483362521891
"214","201705-118",58708541.535,"201705","118","2017",33.7,11195,0,0,15,0,7501,37,1,0,18749,0.994959543706062,"NAIF",2,678,0,4,0,42,114,0,0,840,47497,1236.04736162284,56.5440476190476
"215","201705-119",49738694.307,"201705","119","2017",33.7,2085,0,0,38,0,2068,21,0,0,4212,0.989947343226424,"AL RIGGA",0,94,0,0,0,2,44,0,0,140,9976,4985.83543574579,71.2571428571429
"216","201705-121",189190.055,"201705","121","2017",33.7,3,0,2,7,0,0,0,0,0,12,NA,"CORNICHE DEIRA",0,0,0,0,0,0,8,0,0,8,14,13513.5753571429,1.75
"217","201705-122",27286662.972,"201705","122","2017",33.7,714,0,0,39,0,4821,126,2,0,5702,0.974136189129117,"AL BARAHA",2,200,0,92,180,20,37,0,1,532,23838,1144.67081852504,44.8082706766917
"218","201705-123",39829613.716,"201705","123","2017",33.7,1207,0,3,27,0,4879,136,7,0,6259,0.97152528872959,"AL MUTEENA",10,393,0,128,171,118,63,0,0,883,42804,930.51148761798,48.475651189128
"219","201705-124",121758386.688,"201705","124","2017",33.7,3703,0,1,41,0,10968,126,4,0,14843,0.988286177689674,"AL MURAQQABAT",0,411,0,5,0,25,75,0,0,516,68058,1789.03856545887,131.895348837209
"220","201705-125",29015493.494,"201705","125","2017",33.7,871,0,0,26,0,955,27,1,0,1880,0.971515768056968,"RIGGAT AL BUTEEN",0,22,2,0,0,1,26,0,0,51,6690,4337.14402002989,131.176470588235
"221","201705-126",19577963.829,"201705","126","2017",33.7,189,0,0,30,0,1427,329,23,0,1998,0.802136031478359,"ABU HAIL",5,106,0,484,459,348,33,0,3,1438,15878,1233.02455151782,11.0417246175243
"222","201705-127",52077290.222,"201705","127","2017",33.7,2365,0,2,40,3,6485,190,45,0,9130,0.965029761904762,"HOR AL ANZ",18,685,0,90,505,688,86,0,13,2085,79735,653.129619640058,38.242206235012
"223","201705-128",20715793.591,"201705","128","2017",33.7,1643,0,0,42,4,130,4,0,0,1823,0.970149253731343,"AL KHABAISI",5,18,0,6,0,10,189,0,238,466,1775,11670.8696287324,3.80901287553648
"224","201705-129",76207394.554,"201705","129","2017",33.7,2528,0,3,72,0,2206,29,0,0,4838,0.987024608501119,"PORT SAEED",0,136,0,0,92,25,83,0,0,336,12513,6090.25769631583,37.2410714285714
"225","201705-131",1814925.573,"201705","131","2017",33.7,74,0,1,31,0,2,0,0,0,108,1,"AL HAMRIYA PORT",0,1,0,0,0,0,40,0,96,137,460,3945.49037608696,3.35766423357664
"226","201705-132",16222624.92,"201705","132","2017",33.7,62,0,0,27,0,652,393,62,0,1196,0.588979223125565,"AL WUHEIDA",0,11,0,559,46,421,18,0,0,1055,19388,836.735347637714,18.3772511848341
"227","201705-133",40304980.693,"201705","133","2017",33.7,1751,0,1,88,1,4332,222,31,0,6426,0.944820065430752,"HOR AL ANZ EAST",0,75,0,136,0,114,30,0,5,360,19961,2019.18644822404,55.4472222222222
"228","201705-134",30279805.102,"201705","134","2017",33.7,649,0,2,70,0,2908,435,12,0,4076,0.866766020864381,"AL MAMZAR",1,29,1,356,4,3,47,0,1,442,13218,2290.8008096535,29.9049773755656
"229","201705-141",0,"201705","141","2017",33.7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","201705-213",3563641.494,"201705","213","2017",33.7,8,0,2,7,0,24,138,17,0,196,0.134078212290503,"NADD SHAMMA",0,0,0,189,0,0,7,0,1,197,2790,1277.29085806452,14.1624365482234
"231","201705-214",80367239.818,"201705","214","2017",33.7,1749,0,2,76,5,1964,133,1,0,3930,0.936129647283127,"AL GARHOUD",3,45,8,99,1097,0,133,0,19,1404,17254,4657.89033371972,12.2891737891738
"232","201705-215",36057919.243,"201705","215","2017",33.7,1583,0,6,36,81,187,3,0,0,1896,0.984210526315789,"UMM RAMOOL",3,4,0,0,85,1,436,27,298,854,2829,12745.8180427713,3.31264637002342
"233","201705-216",41305215.383,"201705","216","2017",33.7,566,0,4,75,0,1416,1021,151,0,3233,0.547140649149923,"AL RASHIDIYA",13,14,0,1112,440,904,81,0,1,2565,33719,1224.98340351137,13.1458089668616
"234","201705-221",195150164.604,"201705","221","2017",33.7,487,0,1,65,16,2,0,0,0,571,1,"DUBAI INT'L AIRPORT",0,0,0,0,0,0,76,0,8,84,22,8870462.02745455,0.261904761904762
"235","201705-226",24010802.058,"201705","226","2017",33.7,294,0,0,68,0,806,281,56,0,1505,0.705161854768154,"AL TWAR FIRST",1,11,0,425,63,25,35,0,0,560,10250,2342.51727395122,18.3035714285714
"236","201705-227",7315715.549,"201705","227","2017",33.7,31,0,2,11,0,73,251,35,0,403,0.203342618384401,"AL TWAR SECOND",0,0,0,359,0,0,20,0,0,379,4378,1671.01771333942,11.5514511873351
"237","201705-228",19055191.807,"201705","228","2017",33.7,50,0,0,24,0,91,674,54,0,893,0.111111111111111,"AL TWAR THIRD",0,0,0,864,0,0,25,0,1,890,9851,1934.34085950665,11.0685393258427
"238","201705-231",37014543.27,"201705","231","2017",33.7,860,0,2,12,0,8385,158,13,0,9430,0.980014025245442,"AL NAHDA FIRST",1,69,1,0,0,0,21,0,0,92,23760,1557.85114772727,258.260869565217
"239","201705-232",55055864.158,"201705","232","2017",33.7,674,1,2,44,0,11485,159,9,0,12374,0.98558311164507,"AL QUSAIS FIRST",0,190,0,0,0,0,54,0,3,247,41225,1335.49700807762,166.902834008097
"240","201705-233",23401440.588,"201705","233","2017",33.7,766,0,0,36,0,2718,134,20,0,3674,0.946378830083565,"AL QUSAIS SECOND",0,47,0,165,3,43,45,0,8,311,11144,2099.91390775305,35.8327974276527
"241","201705-234",10215868.61,"201705","234","2017",33.7,62,0,0,13,0,225,310,83,0,693,0.364077669902913,"AL QUSAIS THIRD",0,1,0,587,8,92,31,0,0,719,6480,1576.52293364198,9.0125173852573
"242","201705-237",8912.584,"201705","237","2017",33.7,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","201705-238",158.982,"201705","238","2017",33.7,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","201705-241",59461178.549,"201705","241","2017",33.7,945,0,0,28,0,15016,315,34,0,16338,0.977286039700618,"AL NAHDA SECOND",0,243,0,0,0,0,20,0,0,263,54678,1087.47903268225,207.901140684411
"245","201705-242",18614695.753,"201705","242","2017",33.7,1919,0,1,13,16,1422,20,1,0,3392,0.985446985446986,"AL QUSAIS IND. FIRST",1,43,0,0,0,0,82,12,227,365,8181,2275.35701662388,22.413698630137
"246","201705-243",13359476.378,"201705","243","2017",33.7,1143,0,1,17,28,1097,25,2,0,2313,0.975978647686833,"AL QUSAIS IND. SECOND",5,23,0,0,0,0,64,2,84,178,7875,1696.4414448254,44.2415730337079
"247","201705-244",7939569.588,"201705","244","2017",33.7,23,0,2,12,0,75,371,75,0,558,0.143953934740883,"MUHAISANAH THIRD",0,0,0,598,0,10,16,0,0,624,5950,1334.38144336134,9.53525641025641
"248","201705-245",45234785.349,"201705","245","2017",33.7,517,0,0,34,0,10691,644,53,0,11939,0.938795223041798,"MUHAISANAH FOURTH",5,134,0,0,0,422,33,0,0,594,27848,1624.34592606291,46.8821548821549
"249","201705-246",8906323.748,"201705","246","2017",33.7,828,0,1,9,8,275,8,2,0,1131,0.964912280701754,"AL QUSAIS IND. THIRD",0,12,0,0,0,0,129,13,63,217,2335,3814.2714124197,10.7603686635945
