"","ID","consumption_unit_total","calendar_month","community","year","temperature","NumOfConnected-COMMELEC","NumOfConnected-FREENRESIE","NumOfConnected-FREERESIE","NumOfConnected-GOVTELEC","NumOfConnected-INDTELEC","NumOfConnected-RESIEXPE","NumOfConnected-RESINATE","NumOfConnected-RESINATSE","NumOfConnected-ENORATE","NumOfConnected-TOTAL","Expat_Ratio","Community.Name","One.Storey.Building","Multi.Storey.Building","Multi.Storey.Ratio.Building","Private.Villa","Investment.Villa","Arabic.House","Public.Building","Industrial.Building","Other.Buildings","Total.Buildings","population","Avg_Consumption_per_person","population_density"
"6294","201910-134",15069725.706,"201910","134","2019",32.7,621,9,0,74,0,3219,441,13,0,4377,0.876395317179417,"AL MAMZAR",1,29,1,356,4,3,47,0,1,442,14938,1008.81816213683,33.7963800904977
"6295","201910-213",1750829.608,"201910","213","2019",32.7,8,2,0,7,0,22,145,19,0,203,0.118279569892473,"NADD SHAMMA",0,0,0,189,0,0,7,0,1,197,3124,560.444816901408,15.8578680203046
"6296","201910-214",30516934.939,"201910","214","2019",32.7,1681,6,0,78,3,2598,133,1,0,4500,0.95095168374817,"AL GARHOUD",3,45,8,99,1097,0,133,0,19,1404,18535,1646.4491469652,13.201566951567
"6297","201910-215",15035669.528,"201910","215","2019",32.7,1628,6,0,36,61,270,13,1,0,2015,0.950704225352113,"UMM RAMOOL",3,4,0,0,85,1,436,27,298,854,2935,5122.88569948893,3.4367681498829
"6298","201910-216",19238718.671,"201910","216","2019",32.7,558,8,0,76,0,1727,946,151,0,3466,0.611543909348442,"AL RASHIDIYA",13,14,0,1112,440,904,81,0,1,2565,37167,517.629043802298,14.4900584795322
"6299","201910-221",38678943.692,"201910","221","2019",32.7,530,4,0,92,2,1,0,0,0,629,1,"DUBAI INT'L AIRPORT",0,0,0,0,0,0,76,0,8,84,22,1758133.80418182,0.261904761904762
"6300","201910-226",9792375.135,"201910","226","2019",32.7,282,2,0,75,0,879,290,58,0,1586,0.71638141809291,"AL TWAR FIRST",1,11,0,425,63,25,35,0,0,560,11509,850.845002606656,20.5517857142857
"6301","201910-227",3728438.42,"201910","227","2019",32.7,32,4,0,17,0,73,260,34,0,420,0.198910081743869,"AL TWAR SECOND",0,0,0,359,0,0,20,0,0,379,4835,771.135143743537,12.7572559366755
"6302","201910-228",9535795.463,"201910","228","2019",32.7,52,0,0,25,0,95,716,57,0,945,0.109447004608295,"AL TWAR THIRD",0,0,0,864,0,0,25,0,1,890,10655,894.959686813702,11.9719101123596
"6303","201910-231",19307088.509,"201910","231","2019",32.7,956,5,0,14,0,9606,163,14,0,10758,0.981907390371052,"AL NAHDA FIRST",1,69,1,0,0,0,21,0,0,92,31449,613.917406245032,341.836956521739
"6304","201910-232",26257733.959,"201910","232","2019",32.7,684,6,0,43,0,11042,125,6,0,11906,0.988275306542558,"AL QUSAIS FIRST",0,190,0,0,0,0,54,0,3,247,45657,575.108613334209,184.846153846154
"6305","201910-233",10463641.356,"201910","233","2019",32.7,763,1,0,38,0,2654,135,25,0,3616,0.943141435678749,"AL QUSAIS SECOND",0,47,0,165,3,43,45,0,8,311,12473,838.903339693739,40.1061093247588
"6306","201910-234",5366505.42,"201910","234","2019",32.7,67,2,0,22,0,235,338,92,0,756,0.353383458646617,"AL QUSAIS THIRD",0,1,0,587,8,92,31,0,0,719,7162,749.30262775761,9.96105702364395
"6307","201910-237",4539.22,"201910","237","2019",32.7,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6308","201910-238",5460.04,"201910","238","2019",32.7,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6309","201910-241",32026763.866,"201910","241","2019",32.7,1016,0,0,29,0,16612,252,35,0,17944,0.98301674655305,"AL NAHDA SECOND",0,243,0,0,0,0,20,0,0,263,61936,517.094482465771,235.498098859316
"6310","201910-242",8102372.066,"201910","242","2019",32.7,1830,1,0,13,15,2144,17,1,0,4021,0.991674375578168,"AL QUSAIS IND. FIRST",1,43,0,0,0,0,82,12,227,365,9369,864.806496531113,25.6684931506849
"6311","201910-243",6636579.233,"201910","243","2019",32.7,1168,0,0,20,7,1058,14,1,0,2268,0.986020503261883,"AL QUSAIS IND. SECOND",5,23,0,0,0,0,64,2,84,178,8834,751.254158139008,49.6292134831461
"6312","201910-244",4497058.34,"201910","244","2019",32.7,26,1,0,16,0,83,425,88,0,639,0.139261744966443,"MUHAISANAH THIRD",0,0,0,598,0,10,16,0,0,624,6493,692.601007238565,10.4054487179487
"6313","201910-245",22072326.091,"201910","245","2019",32.7,578,1,0,35,0,11015,519,53,0,12201,0.950634331578493,"MUHAISANAH FOURTH",5,134,0,0,0,422,33,0,0,594,34947,631.594302543852,58.8333333333333
"6314","201910-246",6347242.319,"201910","246","2019",32.7,915,5,0,9,8,947,7,1,0,1892,0.991623036649215,"AL QUSAIS IND. THIRD",0,12,0,0,0,0,129,13,63,217,2710,2342.15583726937,12.4884792626728
"6315","201910-247",4783854.397,"201910","247","2019",32.7,793,2,0,9,5,720,28,8,0,1565,0.952380952380952,"AL QUSAIS IND. FOURTH",0,11,1,0,0,0,86,4,90,192,2709,1765.91155297158,14.109375
"6316","201910-248",3698314.44,"201910","248","2019",32.7,510,3,0,14,6,987,26,3,0,1549,0.971456692913386,"AL QUSAIS IND. FIFTH",0,19,0,0,0,0,26,2,93,140,1613,2292.81738375697,11.5214285714286
